	path	score	n_metabolites	n_reactions
0	processed/1883603.json.gz	1.0	4062	536
1	processed/2090973.json.gz	1.0	2034	345
2	processed/607474.json.gz	1.0	2034	345
3	processed/1569872.json.gz	1.0	1078	184
4	processed/1538308.json.gz	1.0	1075	184
5	processed/1897249.json.gz	1.0	1016	140
6	processed/1177040.json.gz	1.0	975	165
7	processed/372334.json.gz	1.0	814	139
8	processed/568577.json.gz	1.0	814	139
9	processed/593716.json.gz	1.0	814	139
10	processed/697528.json.gz	1.0	814	139
11	processed/688159.json.gz	1.0	760	111
12	processed/582551.json.gz	1.0	759	110
13	processed/1117308.json.gz	1.0	710	120
14	processed/1869744.json.gz	1.0	644	110
15	processed/1216883.json.gz	1.0	640	118
16	processed/510798.json.gz	1.0	530	77
17	processed/1524808.json.gz	1.0	513	87
18	processed/1895356.json.gz	1.0	495	83
19	processed/596819.json.gz	1.0	416	59
20	processed/1575330.json.gz	1.0	392	62
21	processed/776184.json.gz	1.0	387	69
22	processed/626010.json.gz	1.0	357	67
23	processed/511627.json.gz	1.0	338	57
24	processed/487425.json.gz	1.0	329	50
25	processed/751948.json.gz	1.0	329	47
26	processed/655931.json.gz	1.0	324	45
27	processed/617593.json.gz	1.0	316	55
28	processed/1891937.json.gz	1.0	303	48
29	processed/487910.json.gz	1.0	289	47
30	processed/512079.json.gz	1.0	288	44
31	processed/1861935.json.gz	1.0	271	45
32	processed/777523.json.gz	1.0	271	50
33	processed/486914.json.gz	1.0	270	42
34	processed/572072.json.gz	1.0	268	51
35	processed/856248.json.gz	1.0	265	48
36	processed/1164782.json.gz	1.0	259	48
37	processed/779554.json.gz	1.0	259	48
38	processed/855079.json.gz	1.0	247	37
39	processed/1586395.json.gz	1.0	240	46
40	processed/2000010.json.gz	1.0	237	35
41	processed/1179751.json.gz	1.0	233	38
42	processed/495128.json.gz	1.0	218	35
43	processed/514673.json.gz	1.0	218	34
44	processed/821108.json.gz	1.0	218	34
45	processed/884220.json.gz	1.0	213	37
46	processed/1576175.json.gz	1.0	203	32
47	processed/1548148.json.gz	1.0	199	27
48	processed/512913.json.gz	1.0	192	30
49	processed/495432.json.gz	1.0	183	23
50	processed/2096749.json.gz	1.0	182	28
51	processed/1893407.json.gz	1.0	165	26
52	processed/475431.json.gz	1.0	155	22
53	processed/577526.json.gz	1.0	143	19
54	processed/1055920.json.gz	1.0	137	25
55	processed/780085.json.gz	1.0	137	25
56	processed/1868836.json.gz	1.0	128	21
57	processed/1522371.json.gz	1.0	126	26
58	processed/1517432.json.gz	1.0	117	18
59	processed/618195.json.gz	1.0	109	15
60	processed/493868.json.gz	1.0	103	15
61	processed/1056881.json.gz	1.0	102	14
62	processed/777059.json.gz	1.0	102	17
63	processed/1056564.json.gz	1.0	101	16
64	processed/513240.json.gz	1.0	93	15
65	processed/778184.json.gz	1.0	90	13
66	processed/1983705.json.gz	1.0	89	14
67	processed/486306.json.gz	1.0	89	13
68	processed/2097131.json.gz	1.0	88	13
69	processed/854888.json.gz	1.0	85	12
70	processed/855782.json.gz	1.0	84	16
71	processed/620867.json.gz	1.0	78	12
72	processed/486605.json.gz	1.0	70	10
73	processed/486729.json.gz	1.0	70	11
74	processed/889066.json.gz	1.0	67	10
75	processed/760437.json.gz	1.0	66	13
76	processed/1830423.json.gz	1.0	64	9
77	processed/1055539.json.gz	1.0	62	9
78	processed/542964.json.gz	1.0	60	10
79	processed/1400037.json.gz	1.0	59	8
80	processed/1056173.json.gz	1.0	58	9
81	processed/179188.json.gz	1.0	56	11
82	processed/179443.json.gz	1.0	53	10
83	processed/1954054.json.gz	1.0	53	10
84	processed/1830625.json.gz	1.0	51	8
85	processed/1165191.json.gz	1.0	46	8
86	processed/1517682.json.gz	1.0	45	5
87	processed/626656.json.gz	1.0	43	9
88	processed/1588102.json.gz	1.0	42	13
89	processed/1525619.json.gz	1.0	40	8
90	processed/778494.json.gz	1.0	36	5
91	processed/493397.json.gz	1.0	35	4
92	processed/1399583.json.gz	1.0	34	4
93	processed/486855.json.gz	1.0	34	6
94	processed/1216050.json.gz	1.0	33	7
95	processed/1830189.json.gz	1.0	28	5
96	processed/1517250.json.gz	1.0	26	4
97	processed/1215966.json.gz	1.0	23	4
98	processed/1165271.json.gz	1.0	22	4
99	processed/486543.json.gz	1.0	21	3
100	processed/514600.json.gz	1.0	21	5
101	processed/1216143.json.gz	1.0	20	3
102	processed/493797.json.gz	1.0	18	2
103	processed/548926.json.gz	1.0	18	4
104	processed/283031.json.gz	1.0	17	3
105	processed/1202281.json.gz	1.0	16	2
106	processed/179304.json.gz	1.0	16	3
107	processed/1870757.json.gz	1.0	16	2
108	processed/2054094.json.gz	1.0	16	2
109	processed/486273.json.gz	1.0	16	2
110	processed/514329.json.gz	1.0	16	2
111	processed/1406521.json.gz	1.0	14	2
112	processed/548969.json.gz	1.0	12	2
113	processed/1415499.json.gz	1.0	11	2
114	processed/165744.json.gz	1.0	10	2
115	processed/760586.json.gz	1.0	9	1
116	processed/1181177.json.gz	1.0	8	1
117	processed/1494312.json.gz	1.0	7	1
118	processed/1087186.json.gz	1.0	5	1
